21/03/22 04:04:06: ConnectWeighingDevice: success
21/03/22 04:04:09: ConnectWeighingDevice: success
21/03/22 04:04:29: HandleDataReceive: signal: =7.60000=7.60000=7.60000=7.60000=7.60000=7.60000=7.60000=7
21/03/22 04:04:30: HandleDataReceive: signal: .60000=7.60000=7.60000=7.60000=7.60000=7.60000=7.60000=7.60000
21/03/22 04:04:31: HandleDataReceive: signal: =7.60000=7.60000=7.60000=7.60000=7.60000=7.60000=7.60000=
21/03/22 04:04:31: GetCacheItem: Value: =7.60000=7.60000=7.60000=7.60000=7.60000=7.60000=7.60000=
21/03/22 04:04:31: GetWeighingValue: weight: 6.7
21/03/22 04:04:32: HandleDataReceive: signal: 7.60000=7.60000=7.60000=7.60000=7.60000=7.60000=7.60000=7.6000
21/03/22 04:04:33: HandleDataReceive: signal: 0=7.60000=7.60000=7.60000=7.60000=7.60000=7.60000=7.60000=
21/03/22 04:04:33: HandleDataReceive: signal: 7.60000=7.60000=7.60000=7.60000=7.60000=7.60000=7.60000=7.6000
21/03/22 04:04:34: HandleDataReceive: signal: 0=7.60000=7.60000=7.60000=7.60000=7.60000=7.60000=7.60000
21/03/22 04:04:34: GetCacheItem: Value: 0=7.60000=7.60000=7.60000=7.60000=7.60000=7.60000=7.60000
21/03/22 04:04:34: GetWeighingValue: weight: 6.7
21/03/22 04:04:35: HandleDataReceive: signal: =7.60000=7.60000=7.60000=7.60000=7.60000=7.60000=7.60000=7.600
21/03/22 04:04:36: HandleDataReceive: signal: 00=7.60000=7.60000=7.60000=7.60000=7.60000=7.60000=7.60000
21/03/22 04:04:37: HandleDataReceive: signal: =7.60000=7.60000=7.60000=7.60000=7.60000=7.60000=7.60000=7.60
21/03/22 04:04:37: HandleDataReceive: signal: 000=7.60000=7.60000=7.60000=7.60000=7.60000=7.60000=7.60000
21/03/22 04:04:38: GetCacheItem: Value: 000=7.60000=7.60000=7.60000=7.60000=7.60000=7.60000=7.60000
21/03/22 04:04:38: GetWeighingValue: weight: 6.7
21/03/22 04:04:38: HandleDataReceive: signal: =7.60000=7.60000=7.60000=7.60000=7.60000=7.60000=7.60000=7.6
21/03/22 04:04:39: HandleDataReceive: signal: 0000=7.60000=7.60000=7.60000=7.60000=7.60000=7.60000=7.60000
21/03/22 04:04:40: HandleDataReceive: signal: =7.60000=7.60000=7.60000=7.60000=7.60000=7.60000=7.60000=7.
21/03/22 04:04:41: HandleDataReceive: signal: 60000=7.60000=7.60000=7.60000=7.60000=7.60000=7.60000=7.60000
21/03/22 04:04:41: GetCacheItem: Value: 60000=7.60000=7.60000=7.60000=7.60000=7.60000=7.60000=7.60000
21/03/22 04:04:41: GetWeighingValue: weight: 6.7
21/03/22 04:04:42: HandleDataReceive: signal: =7.60000=7.60000=7.60000=7.60000=7.60000=7.60000=7.60000=7
21/03/22 04:04:42: HandleDataReceive: signal: .60000=7.60000=7.60000=7.60000=7.60000=7.60000=7.60000=7.60000
21/03/22 04:04:43: HandleDataReceive: signal: =7.60000=7.60000=7.60000=7.60000=7.60000=7.60000=7.60000=7
21/03/22 04:04:43: GetCacheItem: Value: =7.60000=7.60000=7.60000=7.60000=7.60000=7.60000=7.60000=7
21/03/22 04:04:43: GetWeighingValue: weight: 6.7
21/03/22 04:04:44: HandleDataReceive: signal: .60000=7.60000=7.60000=7.60000=7.60000=7.60000=7.60000=7.60000
21/03/22 04:04:45: HandleDataReceive: signal: =7.60000=7.60000=7.60000=7.60000=7.60000=7.60000=7.60000=
21/03/22 04:04:46: HandleDataReceive: signal: 7.60000=7.60000=7.60000=7.60000=7.60000=7.60000=7.60000=7.6000
21/03/22 04:04:46: HandleDataReceive: signal: 0=7.60000=7.60000=7.60000=7.60000=7.60000=7.60000=7.60000=
21/03/22 04:04:46: GetCacheItem: Value: 0=7.60000=7.60000=7.60000=7.60000=7.60000=7.60000=7.60000=
21/03/22 04:04:46: GetWeighingValue: weight: 6.7
21/03/22 04:04:47: HandleDataReceive: signal: 7.60000=7.60000=7.60000=7.60000=7.60000=6.60000=1.50000=5.1000
21/03/22 04:04:48: HandleDataReceive: signal: 0=0.00000=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:04:49: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.000
21/03/22 04:04:50: HandleDataReceive: signal: 0-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:04:50: GetCacheItem: Value: 0-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:04:50: GetWeighingValue: weight: 0
21/03/22 04:04:50: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.00
21/03/22 04:04:51: HandleDataReceive: signal: 00-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:04:52: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.00
21/03/22 04:04:53: HandleDataReceive: signal: 00-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:04:53: GetCacheItem: Value: 00-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:04:53: GetWeighingValue: weight: 0
21/03/22 04:04:54: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.00
21/03/22 04:04:54: HandleDataReceive: signal: 00-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:04:55: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0
21/03/22 04:04:55: GetCacheItem: Value: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0
21/03/22 04:04:55: GetWeighingValue: weight: 0
21/03/22 04:04:56: HandleDataReceive: signal: 000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:04:57: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.
21/03/22 04:04:58: HandleDataReceive: signal: 0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:04:58: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=2.00000=4.20000=8.40000=2.80000=8.
21/03/22 04:04:58: GetCacheItem: Value: =0.0000-=0.0000-=0.0000-=2.00000=4.20000=8.40000=2.80000=8.
21/03/22 04:04:58: GetWeighingValue: weight: 0
21/03/22 04:04:59: HandleDataReceive: signal: 21000=4.61000=4.71000=5.71000=5.71000=5.71000=5.71000=5.71000
21/03/22 04:05:00: HandleDataReceive: signal: =5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=
21/03/22 04:05:01: HandleDataReceive: signal: 5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.7100
21/03/22 04:05:02: HandleDataReceive: signal: 0=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000
21/03/22 04:05:02: GetCacheItem: Value: 0=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000
21/03/22 04:05:02: GetWeighingValue: weight: 17.5
21/03/22 04:05:02: HandleDataReceive: signal: =5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.710
21/03/22 04:05:03: HandleDataReceive: signal: 00=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000
21/03/22 04:05:04: HandleDataReceive: signal: =5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71
21/03/22 04:05:04: GetCacheItem: Value: =5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71
21/03/22 04:05:04: GetWeighingValue: weight: 17.5
21/03/22 04:05:05: HandleDataReceive: signal: 000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000
21/03/22 04:05:06: HandleDataReceive: signal: =5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.7
21/03/22 04:05:06: HandleDataReceive: signal: 1000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000
21/03/22 04:05:07: HandleDataReceive: signal: =5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.
21/03/22 04:05:07: GetCacheItem: Value: =5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.
21/03/22 04:05:07: GetWeighingValue: weight: 17.5
21/03/22 04:05:08: HandleDataReceive: signal: 71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000
21/03/22 04:05:09: HandleDataReceive: signal: =5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5
21/03/22 04:05:10: HandleDataReceive: signal: .71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000
21/03/22 04:05:10: HandleDataReceive: signal: =5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5
21/03/22 04:05:10: GetCacheItem: Value: =5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5
21/03/22 04:05:10: GetWeighingValue: weight: 17.5
21/03/22 04:05:11: HandleDataReceive: signal: .71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000
21/03/22 04:05:12: HandleDataReceive: signal: =5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=
21/03/22 04:05:13: HandleDataReceive: signal: 5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.7100
21/03/22 04:05:14: HandleDataReceive: signal: 0=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000
21/03/22 04:05:14: GetCacheItem: Value: 0=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000
21/03/22 04:05:14: GetWeighingValue: weight: 17.5
21/03/22 04:05:14: HandleDataReceive: signal: =5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.710
21/03/22 04:05:15: HandleDataReceive: signal: 00=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000
21/03/22 04:05:16: HandleDataReceive: signal: =5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71
21/03/22 04:05:16: GetCacheItem: Value: =5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71
21/03/22 04:05:16: GetWeighingValue: weight: 17.5
21/03/22 04:05:17: HandleDataReceive: signal: 000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000
21/03/22 04:05:18: HandleDataReceive: signal: =5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.7
21/03/22 04:05:18: HandleDataReceive: signal: 1000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000
21/03/22 04:05:19: HandleDataReceive: signal: =5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.
21/03/22 04:05:19: GetCacheItem: Value: =5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.
21/03/22 04:05:19: GetWeighingValue: weight: 17.5
21/03/22 04:05:20: HandleDataReceive: signal: 71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000
21/03/22 04:05:21: HandleDataReceive: signal: =5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5
21/03/22 04:05:22: HandleDataReceive: signal: .71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000
21/03/22 04:05:22: HandleDataReceive: signal: =5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=
21/03/22 04:05:22: GetCacheItem: Value: =5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=
21/03/22 04:05:22: GetWeighingValue: weight: 17.5
21/03/22 04:05:23: HandleDataReceive: signal: 5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.7100
21/03/22 04:05:24: HandleDataReceive: signal: 0=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000
21/03/22 04:05:25: HandleDataReceive: signal: =5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.710
21/03/22 04:05:26: HandleDataReceive: signal: 00=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000
21/03/22 04:05:26: GetCacheItem: Value: 00=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000
21/03/22 04:05:26: GetWeighingValue: weight: 17.5
21/03/22 04:05:26: HandleDataReceive: signal: =5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71
21/03/22 04:05:27: HandleDataReceive: signal: 000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000
21/03/22 04:05:28: HandleDataReceive: signal: =5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.7
21/03/22 04:05:29: HandleDataReceive: signal: 1000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000
21/03/22 04:05:30: HandleDataReceive: signal: =5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.7
21/03/22 04:05:30: GetCacheItem: Value: =5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.7
21/03/22 04:05:30: GetWeighingValue: weight: 17.5
21/03/22 04:05:30: HandleDataReceive: signal: 1000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000
21/03/22 04:05:31: HandleDataReceive: signal: =5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.
21/03/22 04:05:31: GetCacheItem: Value: =5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.
21/03/22 04:05:31: GetWeighingValue: weight: 17.5
21/03/22 04:05:32: HandleDataReceive: signal: 71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000
21/03/22 04:05:33: HandleDataReceive: signal: =5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5
21/03/22 04:05:34: HandleDataReceive: signal: .71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000
21/03/22 04:05:34: HandleDataReceive: signal: =5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=
21/03/22 04:05:34: GetCacheItem: Value: =5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=
21/03/22 04:05:34: GetWeighingValue: weight: 17.5
21/03/22 04:05:35: HandleDataReceive: signal: 5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.7100
21/03/22 04:05:36: HandleDataReceive: signal: 0=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000
21/03/22 04:05:37: HandleDataReceive: signal: =5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.710
21/03/22 04:05:38: HandleDataReceive: signal: 00=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000
21/03/22 04:05:38: GetCacheItem: Value: 00=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000
21/03/22 04:05:38: GetWeighingValue: weight: 17.5
21/03/22 04:05:38: HandleDataReceive: signal: =5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71
21/03/22 04:05:39: HandleDataReceive: signal: 000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000
21/03/22 04:05:40: HandleDataReceive: signal: =5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.7
21/03/22 04:05:40: GetCacheItem: Value: =5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.7
21/03/22 04:05:40: GetWeighingValue: weight: 17.5
21/03/22 04:05:41: HandleDataReceive: signal: 1000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000
21/03/22 04:05:42: HandleDataReceive: signal: =5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.
21/03/22 04:05:42: HandleDataReceive: signal: 71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000
21/03/22 04:05:43: HandleDataReceive: signal: =5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5
21/03/22 04:05:43: GetCacheItem: Value: =5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5
21/03/22 04:05:43: GetWeighingValue: weight: 17.5
21/03/22 04:05:44: HandleDataReceive: signal: .71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000
21/03/22 04:05:45: HandleDataReceive: signal: =5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=
21/03/22 04:05:46: HandleDataReceive: signal: 5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.7100
21/03/22 04:05:46: HandleDataReceive: signal: 0=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=
21/03/22 04:05:46: GetCacheItem: Value: 0=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=
21/03/22 04:05:46: GetWeighingValue: weight: 17.5
21/03/22 04:05:47: HandleDataReceive: signal: 5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.7100
21/03/22 04:05:48: HandleDataReceive: signal: 0=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000
21/03/22 04:05:49: HandleDataReceive: signal: =5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.710
21/03/22 04:05:50: HandleDataReceive: signal: 00=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000
21/03/22 04:05:50: GetCacheItem: Value: 00=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000
21/03/22 04:05:50: GetWeighingValue: weight: 17.5
21/03/22 04:05:50: HandleDataReceive: signal: =5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71
21/03/22 04:05:51: HandleDataReceive: signal: 000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000
21/03/22 04:05:52: HandleDataReceive: signal: =5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.7
21/03/22 04:05:52: GetCacheItem: Value: =5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.7
21/03/22 04:05:52: GetWeighingValue: weight: 17.5
21/03/22 04:05:53: HandleDataReceive: signal: 1000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000
21/03/22 04:05:54: HandleDataReceive: signal: =5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.7
21/03/22 04:05:54: HandleDataReceive: signal: 1000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000
21/03/22 04:05:55: HandleDataReceive: signal: =5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.
21/03/22 04:05:55: GetCacheItem: Value: =5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.
21/03/22 04:05:55: GetWeighingValue: weight: 17.5
21/03/22 04:05:56: HandleDataReceive: signal: 71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000
21/03/22 04:05:57: HandleDataReceive: signal: =5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5
21/03/22 04:05:58: HandleDataReceive: signal: .71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000
21/03/22 04:05:58: HandleDataReceive: signal: =5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=
21/03/22 04:05:58: GetCacheItem: Value: =5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=
21/03/22 04:05:58: GetWeighingValue: weight: 17.5
21/03/22 04:05:59: HandleDataReceive: signal: 5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.71000=5.7100
21/03/22 04:06:00: HandleDataReceive: signal: 0=5.71000=5.71000=5.71000=5.71000=5.71000=4.71000=9.61000=
21/03/22 04:06:01: HandleDataReceive: signal: 1.31000=1.50000=4.00000=0.0000-=0.0000-=0.0000-=0.0000-=0.000
21/03/22 04:06:02: HandleDataReceive: signal: 0-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:06:02: GetCacheItem: Value: 0-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:06:02: GetWeighingValue: weight: 0
21/03/22 04:06:02: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.00
21/03/22 04:06:03: HandleDataReceive: signal: 00-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:06:04: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0
21/03/22 04:06:04: GetCacheItem: Value: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0
21/03/22 04:06:04: GetWeighingValue: weight: 0
21/03/22 04:06:05: HandleDataReceive: signal: 000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:06:06: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.
21/03/22 04:06:06: HandleDataReceive: signal: 0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:06:07: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0
21/03/22 04:06:07: GetCacheItem: Value: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0
21/03/22 04:06:07: GetWeighingValue: weight: 0
21/03/22 04:06:08: HandleDataReceive: signal: .0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:06:09: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0
21/03/22 04:06:10: HandleDataReceive: signal: .0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:06:10: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.00000=
21/03/22 04:06:10: GetCacheItem: Value: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.00000=
21/03/22 04:06:10: GetWeighingValue: weight: 0
21/03/22 04:06:11: HandleDataReceive: signal: 0.00000=0.00000=0.00000=0.00000=0.0000-=0.0000-=0.0000-=0.0000
21/03/22 04:06:12: HandleDataReceive: signal: -=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:06:13: HandleDataReceive: signal: =0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.000
21/03/22 04:06:14: HandleDataReceive: signal: 0-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:06:14: GetCacheItem: Value: 0-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-=0.0000-
21/03/22 04:06:14: GetWeighingValue: weight: 0
